a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2017,48,1,1,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,48,1,2,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,49,2,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,50,2,1,Pedal cyclist,Female,25-34,Slightly injured,,,Other,,,Pedal cycle
2017,51,2,1,Driver,Male,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,52,2,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,53,1,1,Motorcyclist,Male,45-54,Slightly injured,,,Other,,,Motorcycle (125cc and above)
2017,54,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,55,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,56,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,56,2,2,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Car
2017,57,1,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,57,2,2,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,58,1,1,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,59,2,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,60,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,61,2,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,61,2,2,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,61,2,3,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,62,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,62,2,2,Driver,Male,55-64,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,63,2,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,63,3,2,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,64,2,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,65,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,65,1,2,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,66,0,1,Pedestrian,Female,25-34,Seriously injured,In carriageway crossing elsewhere,Crossing from drivers offside,Other,Not a bus or coach passenger,No,
2017,66,1,2,Driver,Female,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,67,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,68,2,1,Vehicle passenger - front,Male,35-44,Slightly injured,,,Other,,,Car
2017,69,0,1,Pedestrian,Male,55-64,Seriously injured,"In carriageway, not crossing",In carriageway stationary - not crossing,Other,Not a bus or coach passenger,No,
2017,70,1,1,Driver,Male,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,70,1,2,Vehicle passenger - front,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,70,2,3,Driver,Female,55-64,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,71,1,1,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Car
2017,71,1,2,Vehicle passenger - rear,Male,10-16,Slightly injured,,,Other,,,Car
2017,72,0,1,Pedestrian,Female,Under 10,Slightly injured,,,School pupil on journey to / from school,,,
2017,73,2,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,73,2,2,Vehicle passenger - front,Female,10-16,Slightly injured,,,Other,,,Car
2017,73,2,3,Vehicle passenger - rear,Female,17-24,Slightly injured,,,Other,,,Car
2017,73,2,4,Vehicle passenger - rear,Male,10-16,Slightly injured,,,Other,,,Car
2017,73,3,5,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,73,3,6,Vehicle passenger - front,Female,17-24,Slightly injured,,,Other,,,Car
2017,74,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,75,1,1,Vehicle passenger - front,Female,17-24,Slightly injured,,,Other,,,Car
2017,76,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,76,1,2,Vehicle passenger - front,Female,35-44,Slightly injured,,,Other,,,Car
2017,76,2,3,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,77,1,1,Driver,Female,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,78,1,1,Driver,Male,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Other motor vehicle
2017,79,1,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,79,2,2,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,79,2,3,Vehicle passenger - front,Male,17-24,Slightly injured,,,Other,,,Car
2017,80,2,1,Driver,Female,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,81,2,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,82,0,1,Pedestrian,Male,35-44,Slightly injured,,,Other,,,
2017,83,2,1,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Car (used as taxi)
2017,84,1,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,85,1,1,Pedal cyclist,Male,25-34,Slightly injured,,,Other,,,Pedal cycle
2017,86,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,86,1,2,Vehicle passenger - rear,Male,17-24,Slightly injured,,,Other,,,Car
2017,86,1,3,Vehicle passenger - front,Male,17-24,Slightly injured,,,Other,,,Car
2017,86,2,4,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,87,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,87,1,2,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Car
2017,88,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,89,1,1,Driver,Male,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,89,2,2,Driver,Female,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,89,3,3,Driver,Male,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,89,3,4,Vehicle passenger - front,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,90,0,1,Pedestrian,Female,35-44,Slightly injured,,,Other,,,
2017,91,2,1,Pedal cyclist,Male,10-16,Slightly injured,,,School pupil on journey to / from school,,,Pedal cycle
2017,92,2,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,92,2,2,Vehicle passenger - front,Female,65+,Slightly injured,,,Other,,,Car
2017,93,2,1,Vehicle passenger - front,Male,45-54,Slightly injured,,,Other,,,Car
2017,94,2,1,Driver,Female,65+,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,94,2,2,Vehicle passenger - front,Female,65+,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,95,2,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,96,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,97,2,1,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,98,1,1,Vehicle passenger - front,Female,10-16,Slightly injured,,,Other,,,Car
2017,99,1,1,Driver,Male,65+,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,99,1,2,Vehicle passenger - rear,Female,55-64,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,99,1,3,Vehicle passenger - front,Male,55-64,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,99,2,4,Driver,Female,45-54,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,99,3,5,Driver,Male,45-54,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,100,1,1,Driver,Male,45-54,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Goods 3.5 tonnes or less
2017,101,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,102,0,1,Pedestrian,Female,17-24,Slightly injured,,,Other,,,
2017,103,1,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,104,2,1,Motorcyclist,Male,25-34,Slightly injured,,,Other,,,Motorcycle (125cc and above)
2017,105,1,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,106,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,107,2,1,Vehicle passenger - front,Female,55-64,Slightly injured,,,Other,,,Car
2017,108,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,109,2,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,109,2,2,Vehicle passenger - front,Male,65+,Slightly injured,,,Other,,,Car
2017,109,1,3,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,109,1,4,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,110,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,111,0,1,Pedestrian,Male,Under 10,Seriously injured,Unknown or other,Crossing from drivers offside masked by static vehicle,Other,Not a bus or coach passenger,No,
2017,112,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,113,1,1,Driver,Male,45-54,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,114,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,114,1,2,Vehicle passenger - rear,Male,17-24,Slightly injured,,,Other,,,Car
2017,114,1,3,Vehicle passenger - front,Male,35-44,Slightly injured,,,Other,,,Car
2017,114,2,4,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,115,3,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,115,3,2,Vehicle passenger - front,Female,25-34,Slightly injured,,,Other,,,Car
2017,116,1,1,Motorcyclist,Male,35-44,Slightly injured,,,Other,,,Motorcycle (under 125cc)
2017,117,1,1,Driver,Male,45-54,Slightly injured,,,Other,,,Goods vehicle (gross weight unknown)
2017,118,1,1,Driver,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,119,1,1,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,120,1,1,Vehicle passenger - front,Female,35-44,Slightly injured,,,Other,,,Car (used as taxi)
2017,121,1,1,Driver,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,121,2,2,Driver,Male,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Goods 3.5 tonnes or less
2017,122,0,1,Pedestrian,Female,Under 10,Seriously injured,Unknown or other,Crossing from drivers offside,School pupil on journey to / from school,Not a bus or coach passenger,No,
2017,123,2,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,124,2,1,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Car
2017,125,2,1,Pedal cyclist,Female,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Pedal cycle
2017,126,1,1,Driver,Female,65+,Slightly injured,,,Other,,,Car
2017,126,2,2,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,126,2,3,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,127,2,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,127,2,2,Vehicle passenger - front,Female,65+,Slightly injured,,,Other,,,Car
2017,127,1,3,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,128,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,129,1,1,Pedal cyclist,Male,45-54,Slightly injured,,,Other,,,Pedal cycle
2017,130,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,131,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,132,2,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,133,1,1,Driver,Male,17-24,Fatal,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,133,2,2,Driver,Female,35-44,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,134,0,1,Pedestrian,Female,45-54,Slightly injured,,,Other,,,
2017,135,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,136,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,136,1,2,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Car
2017,136,1,3,Vehicle passenger - rear,Female,17-24,Slightly injured,,,Other,,,Car
2017,137,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,137,1,2,Vehicle passenger - front,Male,35-44,Slightly injured,,,Other,,,Car
2017,137,1,3,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,137,2,4,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,138,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,139,1,1,Driver,Male,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,139,1,2,Vehicle passenger - front,Male,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,139,1,3,Vehicle passenger - rear,Male,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,140,2,1,Motorcyclist,Male,25-34,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Motorcycle (125cc and above)
2017,141,2,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,142,2,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,143,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,143,1,2,Vehicle passenger - front,Male,45-54,Slightly injured,,,Other,,,Car
2017,144,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,144,2,2,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Car
2017,145,0,1,Pedestrian,Male,25-34,Slightly injured,,,Other,,,
2017,146,1,1,Driver,Female,65+,Slightly injured,,,Other,,,Car
2017,147,2,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,148,1,1,Vehicle passenger - front,Female,65+,Slightly injured,,,Other,,,Car
2017,149,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,150,0,1,Pedestrian,Male,Under 10,Seriously injured,"In carriageway, not crossing",Unknown / other,Other,Not a bus or coach passenger,No,
2017,151,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,152,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,153,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,154,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,154,1,2,Vehicle passenger - front,Female,25-34,Slightly injured,,,Other,,,Car
2017,155,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,156,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,156,1,2,Vehicle passenger - front,Female,17-24,Slightly injured,,,Other,,,Car
2017,157,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,158,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,159,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,159,1,2,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Car
2017,160,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,161,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,162,1,1,Driver,Female,25-34,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,162,1,2,Vehicle passenger - rear,Female,Under 10,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,163,2,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,164,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,164,2,2,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,165,1,1,Driver,Male,65+,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,166,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,167,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,167,1,2,Vehicle passenger - front,Male,45-54,Slightly injured,,,Other,,,Car
2017,167,1,3,Vehicle passenger - rear,Male,45-54,Slightly injured,,,Other,,,Car
2017,167,1,4,Vehicle passenger - rear,Male,65+,Slightly injured,,,Other,,,Car
2017,167,2,5,Driver,Female,65+,Slightly injured,,,Other,,,Car
2017,167,3,6,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,168,1,1,Driver,Male,45-54,Slightly injured,,,Other,,,Minibus (8-16 passengers)
2017,169,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,170,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,171,2,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,172,2,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,173,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,173,1,2,Vehicle passenger - front,Male,25-34,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,173,2,3,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,173,2,4,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,174,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,174,2,2,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,174,2,3,Vehicle passenger - rear,Male,10-16,Slightly injured,,,Other,,,Car
2017,174,2,4,Vehicle passenger - rear,Male,10-16,Slightly injured,,,Other,,,Car
2017,175,2,1,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,175,2,2,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Car
2017,176,2,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,176,4,2,Driver,Male,25-34,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,177,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,178,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,179,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,180,2,1,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,181,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,182,2,1,Vehicle passenger - front,Female,10-16,Slightly injured,,,Other,,,Car
2017,183,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,184,1,1,Driver,Male,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,185,2,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,186,1,1,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,187,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,187,2,2,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,188,0,1,Pedestrian,Female,35-44,Slightly injured,,,Other,,,
2017,189,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,190,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,190,2,2,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,191,1,1,Vehicle passenger - front,Female,65+,Slightly injured,,,Other,,,Car
2017,192,1,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,193,1,1,Driver,Female,17-24,Slightly injured,,,Other,,,Car
2017,194,2,1,Pedal cyclist,Male,17-24,Slightly injured,,,Other,,,Pedal cycle
2017,195,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,195,2,2,Vehicle passenger - front,Male,35-44,Slightly injured,,,Other,,,Car
